24;30;44;53;37;40;37;50;24;47;39;47;26;25;35;42;52;34;51;35;38;49;39;47
27;51;36;32;42;25;34;35;39;33;37;42;25;51;35;42;52;49;45;38;39;51;46;28
43;54;54;45;26;41;24;29;46;52;49;41;27;29;31;54;37;27;32;47;43;47;41;24
53;33;37;44;28;25;31;31;29;32;43;43;25;43;33;53;33;31;51;27;26;49;38;46
42;45;24;36;43;53;40;51;37;54;46;47;27;35;25;44;45;42;36;50;41;43;52;48
48;33;37;35;50;37;53;28;49;45;25;37;25;50;43;30;46;46;29;26;52;41;49;52
29;31;37;39;36;43;29;53;48;30;42;33;39;28;24;24;25;41;52;36;33;43;43;50
53;29;27;49;37;50;51;31;39;40;29;43;24;37;46;30;40;26;44;49;31;33;45;42
46;29;25;34;43;37;42;41;43;42;40;31;39;34;39;53;34;34;49;54;53;36;24;42
49;46;51;31;53;48;42;44;39;39;27;32;48;40;43;25;52;42;24;36;52;39;45;29
41;46;38;52;39;45;43;34;29;38;39;52;41;35;43;49;54;51;46;54;31;31;28;48
46;47;25;34;36;42;44;34;24;45;44;31;33;45;28;48;51;47;26;34;25;45;39;41
54;29;36;25;47;46;52;34;41;45;29;47;44;33;53;42;48;29;52;50;46;35;39;33
47;53;27;39;29;48;47;24;31;39;34;30;29;43;41;33;47;33;44;43;39;35;28;41
49;39;40;51;48;43;49;43;44;27;33;49;42;37;29;48;53;28;39;28;53;46;37;29
42;43;27;36;45;51;49;35;48;41;44;44;32;50;31;43;44;46;40;26;33;47;45;33
28;51;44;35;50;24;43;26;26;34;33;28;40;37;52;48;33;52;24;25;48;39;39;26
51;51;38;30;29;34;51;49;52;48;31;49;30;37;39;48;52;41;42;52;41;26;26;31
49;47;48;35;47;44;40;44;35;42;38;53;40;36;52;46;38;38;31;46;29;26;41;50
37;30;27;30;51;42;39;49;48;30;36;37;41;39;26;31;31;42;37;43;54;40;32;40
44;51;37;27;50;35;26;46;29;52;53;40;41;33;47;48;26;44;29;34;24;39;28;54
35;54;38;41;44;53;50;51;53;41;41;24;28;36;53;37;27;44;31;44;40;41;45;53
50;44;40;34;35;52;40;29;46;38;46;50;51;40;26;31;26;26;41;24;47;46;43;44
45;46;30;34;31;39;37;49;33;40;46;54;36;40;39;24;25;36;32;45;44;26;41;42
42;54;41;38;54;44;29;27;25;51;43;44;46;30;52;31;24;52;41;35;48;26;49;40
41;40;54;35;38;52;24;43;29;42;46;32;52;54;49;43;34;42;53;40;51;49;33;49
38;25;45;46;40;29;48;40;29;25;51;37;45;49;44;27;51;24;39;28;39;44;33;25
27;53;24;30;27;33;44;46;31;28;51;36;30;32;27;54;48;30;27;51;26;35;52;39
53;49;44;51;34;29;34;49;46;44;43;41;29;42;36;51;35;28;30;41;53;31;51;42
52;39;34;32;41;37;53;47;24;39;31;33;43;48;36;26;48;25;45;41;43;40;49;30
